162	1000	22995
182	1000	21920
158	1000	25881
152	1000	22628
172	1000	21829
191	1000	23217
165	1000	22408
183	1000	23428
192	1000	28269
156	1000	23417
168	1000	24521
184	1000	25071
179	1000	23973
150	1000	23782
196	1000	22570
157	1000	23924
166	1000	23457
194	1000	21710
190	1000	22108
153	1000	23530
193	1000	25282
187	1000	23691
167	1000	22614
174	1000	24706
164	1000	22919
195	1000	23774
151	1000	23405
189	1000	22916
181	1000	22643
160	1000	22351
199	1000	24531
197	1000	21722
214	1000	23351
244	1000	21795
208	1000	20746
213	1000	24113
243	1000	25066
207	1000	23895
230	1000	24925
241	1000	23584
235	1000	23102
238	1000	23554
234	1000	22910
220	1000	22990
233	1000	22717
206	1000	21211
221	1000	23533
211	1000	24836
227	1000	23258
201	1000	24189
226	1000	22196
223	1000	23130
232	1000	23422
242	1000	21816
246	1000	23377
212	1000	20204
200	1000	21588
216	1000	23121
228	1000	22132
248	1000	23337
225	1000	24437
203	1000	24398
229	1000	22243
210	1000	24584
245	1000	22492
237	1000	22584
218	1000	22043
247	1000	24062
217	1000	24526
231	1000	26264
222	1000	23652
202	1000	21351
239	1000	22952
240	1000	26755
209	1000	22487
224	1000	24515
204	1000	24413
215	1000	23811
249	1000	21724
219	1000	23050
236	1000	22710
205	1000	24235
299	1000	21258
295	1000	21807
288	1000	21569
275	1000	24409
284	1000	23365
262	1000	21270
287	1000	22596
260	1000	23414
294	1000	23317
271	1000	23207
258	1000	23250
289	1000	25624
279	1000	23640
280	1000	24280
256	1000	22966
254	1000	23970
259	1000	23162
264	1000	23522
281	1000	23147
266	1000	25232
265	1000	22071
278	1000	23170
277	1000	23866
282	1000	24997
298	1000	24053
263	1000	23104
292	1000	24944
285	1000	23174
290	1000	23994
293	1000	23030
274	1000	21331
270	1000	22521
283	1000	21159
255	1000	23201
273	1000	20924
252	1000	23766
257	1000	23004
268	1000	20820
253	1000	24983
297	1000	19497
291	1000	23914
250	1000	22656
296	1000	24487
269	1000	22130
261	1000	22187
267	1000	24575
272	1000	23199
276	1000	23588
286	1000	21913
251	1000	22237
324	1000	23963
306	1000	22337
313	1000	21777
316	1000	24480
346	1000	23450
328	1000	23889
322	1000	23005
308	1000	23677
326	1000	21119
340	1000	24546
336	1000	23001
301	1000	25278
311	1000	23688
310	1000	25376
304	1000	23109
303	1000	21613
337	1000	21409
315	1000	22556
319	1000	22533
309	1000	20978
338	1000	23099
349	1000	24380
331	1000	21992
343	1000	21799
300	1000	22727
329	1000	22987
314	1000	20962
348	1000	24573
339	1000	22456
330	1000	22971
341	1000	22426
342	1000	24784
317	1000	22912
347	1000	23439
333	1000	23676
318	1000	23672
323	1000	21307
334	1000	23340
305	1000	24692
335	1000	23577
312	1000	22713
302	1000	23198
332	1000	23015
344	1000	23804
320	1000	22861
307	1000	24000
327	1000	23198
325	1000	24539
345	1000	23367
321	1000	23554
363	1000	25388
352	1000	22315
388	1000	23788
375	1000	22720
373	1000	22045
398	1000	22299
390	1000	21860
365	1000	23555
372	1000	23423
359	1000	24258
356	1000	22046
379	1000	22553
386	1000	22124
354	1000	22633
381	1000	23211
361	1000	21851
353	1000	20469
387	1000	21841
377	1000	22653
392	1000	23045
358	1000	24446
397	1000	24093
371	1000	23879
378	1000	22166
362	1000	24286
384	1000	25732
385	1000	22748
382	1000	22721
351	1000	23288
399	1000	20670
369	1000	23413
383	1000	23577
396	1000	22911
389	1000	22953
374	1000	22831
357	1000	22899
366	1000	21745
355	1000	22457
364	1000	22088
376	1000	24687
391	1000	22888
370	1000	22120
350	1000	22027
368	1000	24040
380	1000	22648
393	1000	23378
394	1000	24841
395	1000	23769
360	1000	22372
367	1000	23485
447	1000	25308
400	1000	23978
415	1000	23591
446	1000	23295
448	1000	23213
406	1000	21727
403	1000	22739
408	1000	22796
413	1000	23427
410	1000	22619
407	1000	24526
449	1000	23672
404	1000	21072
420	1000	25694
409	1000	21512
419	1000	22471
421	1000	23020
414	1000	25248
441	1000	24070
423	1000	24455
437	1000	21633
433	1000	23845
431	1000	22794
429	1000	23056
401	1000	22897
426	1000	23189
402	1000	23831
411	1000	22773
427	1000	24434
412	1000	22878
417	1000	24453
418	1000	23890
422	1000	22060
439	1000	24351
430	1000	23359
424	1000	24924
440	1000	23059
435	1000	22979
438	1000	22940
432	1000	23924
425	1000	22868
416	1000	22782
434	1000	22292
444	1000	24289
442	1000	23023
443	1000	24557
436	1000	22535
445	1000	23262
405	1000	23780
428	1000	22334
483	1000	23008
453	1000	23022
450	1000	23896
466	1000	24331
477	1000	23697
497	1000	26816
472	1000	24202
457	1000	22490
475	1000	24740
474	1000	24625
455	1000	22780
498	1000	22597
488	1000	22535
463	1000	26166
482	1000	23352
476	1000	23488
484	1000	23379
487	1000	23318
452	1000	22279
480	1000	22309
473	1000	24146
456	1000	22044
462	1000	23630
495	1000	22542
496	1000	25705
460	1000	20383
469	1000	25007
489	1000	25044
461	1000	23276
486	1000	23931
490	1000	22701
494	1000	21834
454	1000	25921
465	1000	21259
464	1000	22208
458	1000	21089
492	1000	22368
478	1000	21906
493	1000	23054
470	1000	22214
491	1000	21529
481	1000	20472
467	1000	23467
471	1000	22737
451	1000	23145
459	1000	26157
499	1000	26395
485	1000	21073
479	1000	23873
468	1000	23162
527	1000	22510
543	1000	22858
536	1000	23435
502	1000	22016
544	1000	23943
520	1000	22877
522	1000	23119
537	1000	24854
547	1000	21140
519	1000	23813
501	1000	22384
512	1000	22958
538	1000	25486
532	1000	22493
514	1000	24398
546	1000	22995
507	1000	24051
548	1000	23122
530	1000	23752
515	1000	22631
525	1000	23405
533	1000	24276
531	1000	21448
540	1000	22312
517	1000	22849
500	1000	22552
516	1000	24105
542	1000	24938
513	1000	23190
503	1000	22994
526	1000	23644
506	1000	22877
528	1000	23618
529	1000	22450
524	1000	22685
511	1000	23332
534	1000	23893
545	1000	24702
541	1000	24235
523	1000	23035
521	1000	22984
508	1000	24889
549	1000	24237
510	1000	23533
504	1000	22866
509	1000	23728
505	1000	24264
518	1000	21450
535	1000	24583
539	1000	23297
570	1000	24671
583	1000	21541
561	1000	25272
582	1000	23704
565	1000	23799
584	1000	23164
556	1000	21925
593	1000	24298
550	1000	23211
598	1000	24893
580	1000	22370
569	1000	21842
589	1000	22691
568	1000	23346
560	1000	21023
592	1000	23469
559	1000	22058
553	1000	21269
579	1000	23704
591	1000	22392
552	1000	22237
587	1000	23892
577	1000	24043
590	1000	25039
572	1000	21576
554	1000	28049
588	1000	24691
551	1000	23680
566	1000	23846
586	1000	23098
578	1000	23270
558	1000	24145
567	1000	21121
574	1000	21677
594	1000	23612
571	1000	26010
563	1000	22749
585	1000	22541
595	1000	22998
597	1000	21597
581	1000	24463
564	1000	24582
573	1000	23229
576	1000	22818
557	1000	24789
555	1000	26686
596	1000	21619
575	1000	20475
599	1000	24724
562	1000	21143
644	1000	23663
621	1000	22214
649	1000	23155
605	1000	22874
627	1000	25616
640	1000	24388
607	1000	23510
639	1000	20834
600	1000	22121
645	1000	22644
634	1000	21648
630	1000	25259
615	1000	21690
622	1000	24458
648	1000	25367
636	1000	21369
617	1000	20854
642	1000	23892
643	1000	22530
612	1000	21947
632	1000	23660
626	1000	22494
606	1000	22403
610	1000	21751
614	1000	22951
637	1000	23123
616	1000	21500
629	1000	23752
609	1000	20843
624	1000	24332
604	1000	21151
603	1000	23602
633	1000	25422
608	1000	24423
601	1000	22438
625	1000	22578
613	1000	22367
602	1000	23737
631	1000	22617
618	1000	22985
628	1000	21283
647	1000	22885
641	1000	21554
619	1000	22658
611	1000	22429
646	1000	22605
635	1000	23292
638	1000	21522
623	1000	24360
620	1000	21652
692	1000	20986
659	1000	22621
667	1000	25216
654	1000	20913
680	1000	25218
652	1000	23832
661	1000	23656
693	1000	22616
668	1000	26387
675	1000	22258
681	1000	23284
656	1000	22192
686	1000	23853
672	1000	25342
655	1000	25149
663	1000	22420
662	1000	24460
677	1000	22973
682	1000	24769
696	1000	21613
679	1000	22930
666	1000	21075
697	1000	21225
690	1000	24376
699	1000	22651
